callsign,status,licence_class
20BCM,Allocated,Amateur Intermediate Radio Licence
20BCN,Allocated,Amateur Intermediate Radio Licence
20BCO,Allocated,Amateur Intermediate Radio Licence
20BCP,Allocated,Amateur Intermediate Radio Licence
20BCQ,Allocated,Amateur Intermediate Radio Licence
20BCR,Allocated,Amateur Intermediate Radio Licence
20BCS,Allocated,Amateur Intermediate Radio Licence
20BCT,Reserved,Amateur Intermediate Radio Licence
20BCU,Allocated,Amateur Intermediate Radio Licence
20BCV,Allocated,Amateur Intermediate Radio Licence
20BCW,Allocated,Amateur Intermediate Radio Licence
20BCX,Allocated,Amateur Intermediate Radio Licence
20BCY,Allocated,Amateur Intermediate Radio Licence
20BCZ,Reserved,Amateur Intermediate Radio Licence
20BDA,Allocated,Amateur Intermediate Radio Licence
20BDB,Allocated,Amateur Intermediate Radio Licence
20BDC,Allocated,Amateur Intermediate Radio Licence
20BDD,Allocated,Amateur Intermediate Radio Licence
20BDE,Reserved,Amateur Intermediate Radio Licence
20BDF,Allocated,Amateur Intermediate Radio Licence
20BDG,Allocated,Amateur Intermediate Radio Licence
20BDH,Reserved,Amateur Intermediate Radio Licence
20BDI,Allocated,Amateur Intermediate Radio Licence
20BDJ,Allocated,Amateur Intermediate Radio Licence
20BDK,Reserved,Amateur Intermediate Radio Licence
20BDL,Allocated,Amateur Intermediate Radio Licence
20BDM,Reserved,Amateur Intermediate Radio Licence
