Value__c,Product__c,Status__c,Type__c
M7FXD,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7DQZ,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7OWO,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7EMK,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M0UIO,Amateur Full Radio Licence,Allocated,Call Sign - Amateur
M0NIM,Amateur Full Radio Licence,Allocated,Call Sign - Amateur
G5OPW,,Allocated,Call Sign - Amateur
M7TBG,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7JTL,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M0KHI,Amateur Full Radio Licence,Allocated,Call Sign - Amateur
M7GLW,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7SEY,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7EAW,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7ATA,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7RPF,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7FJF,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7DEA,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M5MCH,,Allocated,Call Sign - Amateur
M7ATP,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7AJA,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
20IMR,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur
M7RWI,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7EGK,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7ECU,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7EMV,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7TGN,Amateur Foundation Radio Licence,Reserved,Call Sign - Amateur
20ORZ,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur
20FNH,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur
20KCV,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur
20IJZ,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur
20IJT,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur
M0TRD,Amateur Full Radio Licence,Allocated,Call Sign - Amateur
M7AHK,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7EEN,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
