Country,Current Series,Reference,Value,Type,Product,Status,Allocated Flag
M,6,GIO,M6GIO,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GIQ,M6GIQ,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GIS,M6GIS,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GIU,M6GIU,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GIV,M6GIV,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GIW,M6GIW,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GIY,M6GIY,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GJA,M6GJA,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GJD,M6GJD,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GJF,M6GJF,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GJG,M6GJG,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GJI,M6GJI,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GJL,M6GJL,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GJQ,M6GJQ,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GJU,M6GJU,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GJV,M6GJV,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GJX,M6GJX,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GJY,M6GJY,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GJZ,M6GJZ,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GKE,M6GKE,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GKF,M6GKF,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GKH,M6GKH,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GKI,M6GKI,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GKJ,M6GKJ,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GKK,M6GKK,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GKL,M6GKL,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GKQ,M6GKQ,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GKR,M6GKR,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GKT,M6GKT,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GKU,M6GKU,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GKV,M6GKV,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GKZ,M6GKZ,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GLK,M6GLK,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GLQ,M6GLQ,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GLZ,M6GLZ,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GMQ,M6GMQ,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GMS,M6GMS,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GMU,M6GMU,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GMV,M6GMV,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GNB,M6GNB,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GNC,M6GNC,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GNE,M6GNE,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GNI,M6GNI,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GNJ,M6GNJ,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GNQ,M6GNQ,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GNS,M6GNS,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GNV,M6GNV,Call Sign,Amateur Foundation Radio Licence,Available,N
