callsign,status,licence_class,suffix
M6FXX,Available,Amateur Foundation Radio Licence,FXX
M6FXZ,Available,Amateur Foundation Radio Licence,FXZ
M6FYA,Available,Amateur Foundation Radio Licence,FYA
M6FYC,Available,Amateur Foundation Radio Licence,FYC
M6FYD,Available,Amateur Foundation Radio Licence,FYD
M6FYE,Available,Amateur Foundation Radio Licence,FYE
M6FYF,Available,Amateur Foundation Radio Licence,FYF
M6FYG,Available,Amateur Foundation Radio Licence,FYG
M6FYH,Available,Amateur Foundation Radio Licence,FYH
M6FYJ,Available,Amateur Foundation Radio Licence,FYJ
M6FYK,Available,Amateur Foundation Radio Licence,FYK
M6FYM,Available,Amateur Foundation Radio Licence,FYM
M6FYN,Available,Amateur Foundation Radio Licence,FYN
M6FYO,Available,Amateur Foundation Radio Licence,FYO
M6FYP,Available,Amateur Foundation Radio Licence,FYP
M6FYQ,Available,Amateur Foundation Radio Licence,FYQ
M6FYR,Available,Amateur Foundation Radio Licence,FYR
M6FYS,Available,Amateur Foundation Radio Licence,FYS
M6FYT,Available,Amateur Foundation Radio Licence,FYT
M6FYU,Available,Amateur Foundation Radio Licence,FYU
M6FYW,Available,Amateur Foundation Radio Licence,FYW
M6FYX,Available,Amateur Foundation Radio Licence,FYX
M6FYY,Available,Amateur Foundation Radio Licence,FYY
M6FZA,Available,Amateur Foundation Radio Licence,FZA
M6FZB,Available,Amateur Foundation Radio Licence,FZB
M6FZC,Available,Amateur Foundation Radio Licence,FZC
M6FZD,Available,Amateur Foundation Radio Licence,FZD
M6FZE,Available,Amateur Foundation Radio Licence,FZE
M6FZG,Available,Amateur Foundation Radio Licence,FZG
M6FZH,Available,Amateur Foundation Radio Licence,FZH
M6FZI,Available,Amateur Foundation Radio Licence,FZI
M6FZJ,Available,Amateur Foundation Radio Licence,FZJ
M6FZK,Available,Amateur Foundation Radio Licence,FZK
M6FZL,Available,Amateur Foundation Radio Licence,FZL
M6FZM,Available,Amateur Foundation Radio Licence,FZM
M6FZN,Available,Amateur Foundation Radio Licence,FZN
M6FZO,Available,Amateur Foundation Radio Licence,FZO
M6FZP,Available,Amateur Foundation Radio Licence,FZP
M6FZQ,Available,Amateur Foundation Radio Licence,FZQ
M6FZT,Available,Amateur Foundation Radio Licence,FZT
M6FZU,Available,Amateur Foundation Radio Licence,FZU
M6FZV,Available,Amateur Foundation Radio Licence,FZV
M6FZX,Available,Amateur Foundation Radio Licence,FZX
M6FZZ,Available,Amateur Foundation Radio Licence,FZZ
M6GFJ,Available,Amateur Foundation Radio Licence,GFJ
M6GFP,Available,Amateur Foundation Radio Licence,GFP
M6GFS,Available,Amateur Foundation Radio Licence,GFS
M6GFT,Available,Amateur Foundation Radio Licence,GFT
M6GFV,Available,Amateur Foundation Radio Licence,GFV
M6GFZ,Available,Amateur Foundation Radio Licence,GFZ
M6GGF,Available,Amateur Foundation Radio Licence,GGF
M6GGI,Available,Amateur Foundation Radio Licence,GGI
M6GGJ,Available,Amateur Foundation Radio Licence,GGJ
M6GGK,Available,Amateur Foundation Radio Licence,GGK
M6GGL,Available,Amateur Foundation Radio Licence,GGL
M6GGN,Available,Amateur Foundation Radio Licence,GGN
M6GGO,Available,Amateur Foundation Radio Licence,GGO
M6GGQ,Available,Amateur Foundation Radio Licence,GGQ
M6GGR,Available,Amateur Foundation Radio Licence,GGR
M6GGU,Available,Amateur Foundation Radio Licence,GGU
M6GGX,Available,Amateur Foundation Radio Licence,GGX
M6GHA,Available,Amateur Foundation Radio Licence,GHA
M6GHC,Available,Amateur Foundation Radio Licence,GHC
M6GHH,Available,Amateur Foundation Radio Licence,GHH
M6GHJ,Available,Amateur Foundation Radio Licence,GHJ
M6GHK,Available,Amateur Foundation Radio Licence,GHK
M6GHN,Available,Amateur Foundation Radio Licence,GHN
M6GHQ,Available,Amateur Foundation Radio Licence,GHQ
M6GHR,Available,Amateur Foundation Radio Licence,GHR
M6GHS,Available,Amateur Foundation Radio Licence,GHS
M6GHV,Available,Amateur Foundation Radio Licence,GHV
M6GHX,Available,Amateur Foundation Radio Licence,GHX
M6GHY,Available,Amateur Foundation Radio Licence,GHY
M6GID,Available,Amateur Foundation Radio Licence,GID
M6GIF,Available,Amateur Foundation Radio Licence,GIF
M6GII,Available,Amateur Foundation Radio Licence,GII
M6GIJ,Available,Amateur Foundation Radio Licence,GIJ
M6GIK,Available,Amateur Foundation Radio Licence,GIK
M6GIO,Available,Amateur Foundation Radio Licence,GIO
M6GIQ,Available,Amateur Foundation Radio Licence,GIQ
M6GIS,Available,Amateur Foundation Radio Licence,GIS
M6GIU,Available,Amateur Foundation Radio Licence,GIU
M6GIV,Available,Amateur Foundation Radio Licence,GIV
M6GIW,Available,Amateur Foundation Radio Licence,GIW
M6GIY,Available,Amateur Foundation Radio Licence,GIY
M6GJA,Available,Amateur Foundation Radio Licence,GJA
M6GJD,Available,Amateur Foundation Radio Licence,GJD
M6GJF,Available,Amateur Foundation Radio Licence,GJF
M6GJG,Available,Amateur Foundation Radio Licence,GJG
M6GJI,Available,Amateur Foundation Radio Licence,GJI
M6GJL,Available,Amateur Foundation Radio Licence,GJL
M6GJQ,Available,Amateur Foundation Radio Licence,GJQ
M6GJU,Available,Amateur Foundation Radio Licence,GJU
M6GJV,Available,Amateur Foundation Radio Licence,GJV
M6GJX,Available,Amateur Foundation Radio Licence,GJX
M6GJY,Available,Amateur Foundation Radio Licence,GJY
M6GJZ,Available,Amateur Foundation Radio Licence,GJZ
M6GKE,Available,Amateur Foundation Radio Licence,GKE
M6GKF,Available,Amateur Foundation Radio Licence,GKF
M6GKH,Available,Amateur Foundation Radio Licence,GKH
M6GKI,Available,Amateur Foundation Radio Licence,GKI
M6GKJ,Available,Amateur Foundation Radio Licence,GKJ
M6GKK,Available,Amateur Foundation Radio Licence,GKK
M6GKL,Available,Amateur Foundation Radio Licence,GKL
M6GKQ,Available,Amateur Foundation Radio Licence,GKQ
M6GKR,Available,Amateur Foundation Radio Licence,GKR
M6GKT,Available,Amateur Foundation Radio Licence,GKT
M6GKU,Available,Amateur Foundation Radio Licence,GKU
M6GKV,Available,Amateur Foundation Radio Licence,GKV
M6GKZ,Available,Amateur Foundation Radio Licence,GKZ
M6GLK,Available,Amateur Foundation Radio Licence,GLK
M6GLQ,Available,Amateur Foundation Radio Licence,GLQ
M6GLZ,Available,Amateur Foundation Radio Licence,GLZ
M6GMQ,Available,Amateur Foundation Radio Licence,GMQ
M6GMS,Available,Amateur Foundation Radio Licence,GMS
M6GMU,Available,Amateur Foundation Radio Licence,GMU
M6GMV,Available,Amateur Foundation Radio Licence,GMV
M6GNB,Available,Amateur Foundation Radio Licence,GNB
M6GNC,Available,Amateur Foundation Radio Licence,GNC
M6GNE,Available,Amateur Foundation Radio Licence,GNE
M6GNF,Available,Amateur Foundation Radio Licence,GNF
M6GNH,Available,Amateur Foundation Radio Licence,GNH
M6GNI,Available,Amateur Foundation Radio Licence,GNI
M6GNJ,Available,Amateur Foundation Radio Licence,GNJ
M6GNQ,Available,Amateur Foundation Radio Licence,GNQ
M6GNS,Available,Amateur Foundation Radio Licence,GNS
M6GNV,Available,Amateur Foundation Radio Licence,GNV
M6GNX,Available,Amateur Foundation Radio Licence,GNX
M6GNY,Available,Amateur Foundation Radio Licence,GNY
M6GOC,Available,Amateur Foundation Radio Licence,GOC
