callsign,status,licence_class,suffix
M0ITS,Available,Amateur Full Radio Licence,ITS
M0ITT,Available,Amateur Full Radio Licence,ITT
M0ITZ,Available,Amateur Full Radio Licence,ITZ
M0IUA,Available,Amateur Full Radio Licence,IUA
M0IUB,Available,Amateur Full Radio Licence,IUB
M0IUC,Available,Amateur Full Radio Licence,IUC
M0IUE,Available,Amateur Full Radio Licence,IUE
M0IUF,Available,Amateur Full Radio Licence,IUF
M0IUG,Available,Amateur Full Radio Licence,IUG
M0IUH,Available,Amateur Full Radio Licence,IUH
M0IUI,Available,Amateur Full Radio Licence,IUI
M0IUJ,Available,Amateur Full Radio Licence,IUJ
M0IUL,Available,Amateur Full Radio Licence,IUL
M0IUN,Available,Amateur Full Radio Licence,IUN
M0IUO,Available,Amateur Full Radio Licence,IUO
M0IUP,Available,Amateur Full Radio Licence,IUP
M0IUQ,Available,Amateur Full Radio Licence,IUQ
M0IUR,Available,Amateur Full Radio Licence,IUR
M0IUS,Available,Amateur Full Radio Licence,IUS
M0IUT,Available,Amateur Full Radio Licence,IUT
M0IUU,Available,Amateur Full Radio Licence,IUU
M0IUV,Available,Amateur Full Radio Licence,IUV
M0IUW,Available,Amateur Full Radio Licence,IUW
M0IUX,Available,Amateur Full Radio Licence,IUX
M0IUY,Available,Amateur Full Radio Licence,IUY
M0IUZ,Available,Amateur Full Radio Licence,IUZ
M0IVA,Available,Amateur Full Radio Licence,IVA
M0IVB,Available,Amateur Full Radio Licence,IVB
M0IVC,Available,Amateur Full Radio Licence,IVC
M0IVD,Available,Amateur Full Radio Licence,IVD
M0IVG,Available,Amateur Full Radio Licence,IVG
M0IVH,Available,Amateur Full Radio Licence,IVH
M0IVI,Available,Amateur Full Radio Licence,IVI
M0IVJ,Available,Amateur Full Radio Licence,IVJ
M0IVK,Available,Amateur Full Radio Licence,IVK
M0IVL,Available,Amateur Full Radio Licence,IVL
M0IVM,Available,Amateur Full Radio Licence,IVM
M0IVN,Available,Amateur Full Radio Licence,IVN
M0IVP,Available,Amateur Full Radio Licence,IVP
M0IVR,Available,Amateur Full Radio Licence,IVR
M0IVS,Available,Amateur Full Radio Licence,IVS
M0IVT,Available,Amateur Full Radio Licence,IVT
M0IVU,Available,Amateur Full Radio Licence,IVU
M0IVV,Available,Amateur Full Radio Licence,IVV
M0IVX,Available,Amateur Full Radio Licence,IVX
M0IVY,Available,Amateur Full Radio Licence,IVY
M0IVZ,Available,Amateur Full Radio Licence,IVZ
M0IWB,Available,Amateur Full Radio Licence,IWB
M0IWE,Available,Amateur Full Radio Licence,IWE
M0IWG,Available,Amateur Full Radio Licence,IWG
M0IWI,Available,Amateur Full Radio Licence,IWI
M0IWJ,Available,Amateur Full Radio Licence,IWJ
M0IWK,Available,Amateur Full Radio Licence,IWK
M0IWL,Available,Amateur Full Radio Licence,IWL
M0IWM,Available,Amateur Full Radio Licence,IWM
M0IWN,Available,Amateur Full Radio Licence,IWN
M0IWO,Available,Amateur Full Radio Licence,IWO
M0IWP,Available,Amateur Full Radio Licence,IWP
M0IWQ,Available,Amateur Full Radio Licence,IWQ
M0IWR,Available,Amateur Full Radio Licence,IWR
M0IWS,Available,Amateur Full Radio Licence,IWS
M0IWT,Available,Amateur Full Radio Licence,IWT
M0IWU,Available,Amateur Full Radio Licence,IWU
M0IWV,Available,Amateur Full Radio Licence,IWV
M0IWW,Available,Amateur Full Radio Licence,IWW
M0IWX,Available,Amateur Full Radio Licence,IWX
M0IWY,Available,Amateur Full Radio Licence,IWY
M0IWZ,Available,Amateur Full Radio Licence,IWZ
M0IXC,Available,Amateur Full Radio Licence,IXC
M0IXE,Available,Amateur Full Radio Licence,IXE
M0IXF,Available,Amateur Full Radio Licence,IXF
M0IXG,Available,Amateur Full Radio Licence,IXG
M0IXH,Available,Amateur Full Radio Licence,IXH
M0IXI,Available,Amateur Full Radio Licence,IXI
M0IXJ,Available,Amateur Full Radio Licence,IXJ
M0IXK,Available,Amateur Full Radio Licence,IXK
M0IXL,Available,Amateur Full Radio Licence,IXL
M0IXM,Available,Amateur Full Radio Licence,IXM
M0IXN,Available,Amateur Full Radio Licence,IXN
M0IXO,Available,Amateur Full Radio Licence,IXO
M0IXP,Available,Amateur Full Radio Licence,IXP
M0IXQ,Available,Amateur Full Radio Licence,IXQ
M0IXR,Available,Amateur Full Radio Licence,IXR
M0IXS,Available,Amateur Full Radio Licence,IXS
M0IXT,Available,Amateur Full Radio Licence,IXT
M0IXU,Available,Amateur Full Radio Licence,IXU
M0IXV,Available,Amateur Full Radio Licence,IXV
M0IXW,Available,Amateur Full Radio Licence,IXW
M0IXX,Available,Amateur Full Radio Licence,IXX
