callsign,parse_status,prefix_series,rsl,suffix,placeholder_form,home_callsign,implied_class,flags
20AZD,parsed,2#0,,AZD,2#0AZD,,Intermediate,missing-rsl
20AZF,parsed,2#0,,AZF,2#0AZF,,Intermediate,missing-rsl
20AZI,parsed,2#0,,AZI,2#0AZI,,Intermediate,missing-rsl
20AZJ,parsed,2#0,,AZJ,2#0AZJ,,Intermediate,missing-rsl
20AZK,parsed,2#0,,AZK,2#0AZK,,Intermediate,missing-rsl
20AZL,parsed,2#0,,AZL,2#0AZL,,Intermediate,missing-rsl
20AZM,parsed,2#0,,AZM,2#0AZM,,Intermediate,missing-rsl
20AZN,parsed,2#0,,AZN,2#0AZN,,Intermediate,missing-rsl
20AZP,parsed,2#0,,AZP,2#0AZP,,Intermediate,missing-rsl
20AZQ,parsed,2#0,,AZQ,2#0AZQ,,Intermediate,missing-rsl
20AZS,parsed,2#0,,AZS,2#0AZS,,Intermediate,missing-rsl
20AZT,parsed,2#0,,AZT,2#0AZT,,Intermediate,missing-rsl
20AZU,parsed,2#0,,AZU,2#0AZU,,Intermediate,missing-rsl
20AZV,parsed,2#0,,AZV,2#0AZV,,Intermediate,missing-rsl
20AZW,parsed,2#0,,AZW,2#0AZW,,Intermediate,missing-rsl
20AZX,parsed,2#0,,AZX,2#0AZX,,Intermediate,missing-rsl
20AZZ,parsed,2#0,,AZZ,2#0AZZ,,Intermediate,missing-rsl
20BAB,parsed,2#0,,BAB,2#0BAB,,Intermediate,missing-rsl
20BAC,parsed,2#0,,BAC,2#0BAC,,Intermediate,missing-rsl
20BAD,parsed,2#0,,BAD,2#0BAD,,Intermediate,missing-rsl
20BAE,parsed,2#0,,BAE,2#0BAE,,Intermediate,missing-rsl
20BAF,parsed,2#0,,BAF,2#0BAF,,Intermediate,missing-rsl
20BAH,parsed,2#0,,BAH,2#0BAH,,Intermediate,missing-rsl
20BAI,parsed,2#0,,BAI,2#0BAI,,Intermediate,missing-rsl
20BAJ,parsed,2#0,,BAJ,2#0BAJ,,Intermediate,missing-rsl
20BAK,parsed,2#0,,BAK,2#0BAK,,Intermediate,missing-rsl
20BAO,parsed,2#0,,BAO,2#0BAO,,Intermediate,missing-rsl
20BAP,parsed,2#0,,BAP,2#0BAP,,Intermediate,missing-rsl
20BAR,parsed,2#0,,BAR,2#0BAR,,Intermediate,missing-rsl
20BAS,parsed,2#0,,BAS,2#0BAS,,Intermediate,missing-rsl
20BAU,parsed,2#0,,BAU,2#0BAU,,Intermediate,missing-rsl
20BAV,parsed,2#0,,BAV,2#0BAV,,Intermediate,missing-rsl
20BAW,parsed,2#0,,BAW,2#0BAW,,Intermediate,missing-rsl
20BAX,parsed,2#0,,BAX,2#0BAX,,Intermediate,missing-rsl
