callsign,status,licence_class,created_date,last_modified_date,reserved_to_date,licence_cancel_date
20AWQ,Reserved,,2016-08-12,2016-08-12,,
20AWU,Reserved,,2016-07-23,2019-01-05,,2004-05-07
20AWV,Reserved,,2016-08-02,2016-08-02,,
20AWX,Reserved,,2016-08-02,2016-08-02,,
20AXC,Reserved,,2016-08-12,2016-08-12,,
20AXD,Reserved,,2016-08-02,2016-08-12,,
20AXE,Reserved,,2016-08-02,2016-08-02,,
20AXF,Reserved,,2016-08-02,2016-08-02,,
20AXG,Reserved,,2016-07-23,2016-08-02,,2004-07-07
20AXH,Reserved,,2016-08-02,2016-08-02,,
20AXI,Reserved,,2016-08-02,2016-08-02,,
20AXJ,Reserved,,2016-08-02,2016-08-02,,
20AXK,Reserved,,2016-08-02,2016-08-12,,
20AXL,Reserved,,2016-08-12,2016-08-12,,
20AXM,Reserved,,2016-08-02,2016-08-12,,
20AXO,Reserved,,2016-08-02,2016-08-12,,
20AXP,Reserved,,2016-08-12,2016-08-12,,
20AXQ,Reserved,,2016-08-12,2016-08-12,,
20AXR,Reserved,,2016-08-02,2016-08-12,,
20AXS,Reserved,,2016-08-02,2016-08-02,,
20AXU,Reserved,,2016-08-02,2016-08-02,,
20AXV,Reserved,,2016-08-02,2016-08-02,,
20AXW,Reserved,,2016-08-02,2016-08-02,,
20AXY,Reserved,,2016-08-02,2016-08-02,,
20AYB,Reserved,,2016-08-02,2016-08-12,,
20AYC,Reserved,,2016-08-12,2016-08-12,,
20AYE,Reserved,,2016-08-02,2016-08-12,,
20AYF,Reserved,,2016-08-12,2016-08-12,,
20AYG,Reserved,,2016-08-02,2016-08-12,,
20AYH,Reserved,,2016-08-12,2016-08-12,,
20AYJ,Reserved,,2016-08-12,2016-08-12,,
20AYL,Reserved,,2016-08-02,2016-08-02,,
20AYM,Reserved,,2016-08-02,2016-08-02,,
20AYN,Reserved,,2016-08-02,2016-08-02,,
20AYO,Reserved,,2016-08-02,2016-08-02,,
20AYP,Reserved,,2016-08-02,2016-08-02,,
20AYS,Reserved,,2016-08-02,2016-08-02,,
20AYV,Reserved,,2016-08-02,2016-08-02,,
20AZE,Reserved,,2016-08-02,2016-08-02,,
20AZG,Reserved,,2016-08-12,2016-08-12,,
20AZH,Reserved,,2016-08-02,2016-08-12,,
20AZI,Reserved,,2016-07-23,2016-08-02,,2005-01-28
20AZO,Reserved,,2016-08-02,2016-08-02,,
20AZR,Reserved,,2016-08-12,2016-08-12,,
20AZX,Reserved,,2016-07-23,2016-08-02,,2005-04-27
20AZY,Reserved,,2016-08-02,2016-08-02,,
20BAA,Reserved,,2016-08-02,2016-08-02,,
20BAG,Reserved,,2016-08-02,2016-08-02,,
20BAI,Reserved,,2016-07-23,2016-07-23,,2005-05-20
20BAL,Reserved,,2016-08-12,2016-08-12,,
20BAM,Reserved,,2016-08-02,2016-08-12,,
20BAN,Reserved,,2016-08-02,2016-08-02,,
20BAQ,Reserved,,2016-08-02,2016-08-02,,
20BAR,Reserved,,2016-07-23,2016-08-02,,2005-05-30
20BAT,Reserved,,2016-08-02,2016-08-02,,
20BAZ,Reserved,,2016-08-02,2016-08-02,,
20BBE,Reserved,,2016-08-02,2016-08-02,,
20BBF,Reserved,,2016-08-02,2016-08-02,,
20BBH,Reserved,,2016-08-02,2016-08-02,,
20BBJ,Reserved,,2016-08-02,2016-08-02,,
20BBK,Reserved,,2016-08-02,2016-08-02,,
20BBR,Reserved,,2016-08-02,2016-08-02,,
20BBU,Reserved,,2016-08-02,2016-08-02,,
20BBW,Reserved,,2016-08-02,2016-08-02,,
20BCC,Reserved,,2016-08-02,2016-08-02,,
20BCH,Reserved,,2016-07-23,2016-07-23,,2005-10-28
20BCT,Reserved,,2016-07-23,2016-07-23,,2005-11-30
20BCZ,Reserved,,2016-07-23,2016-07-23,,2005-12-20
20BDE,Reserved,,2016-07-23,2016-07-23,,2006-01-12
20BDH,Reserved,,2016-07-23,2016-07-23,,2006-01-25
20BDK,Reserved,,2016-08-02,2016-08-02,,
20BDM,Reserved,,2016-07-23,2016-07-23,,2006-01-30
20BDU,Reserved,,2016-08-02,2016-08-02,,
20BEM,Reserved,,2016-08-02,2016-08-02,,
20BEO,Reserved,,2016-08-02,2016-08-02,,
