Value,Status,Type,Call Sign MMSI: Created Date,Call Sign MMSI: Last Modified Date,Reserved to Date,Licence Cancel Date
M7SGU,Reserved,Call Sign - Amateur,2020-10-14,2020-10-14,2020-11-13,
G3WRS,Reserved,Call Sign - Amateur,2016-07-23,2020-10-21,2020-11-20,
G3ESP,Reserved,Call Sign - Amateur,2016-07-23,2020-10-21,2020-11-20,
G4DCN,Reserved,Call Sign - Amateur,2020-10-21,2020-10-21,2020-11-20,
G4ECT,Reserved,Call Sign - Amateur,2016-07-23,2018-11-27,2020-11-27,
G1RXW,Reserved,Call Sign - Amateur,2020-01-03,2020-01-03,2021-01-03,
G2OO,Reserved,Call Sign - Amateur,2020-01-09,2020-01-09,2021-01-09,
M0HUB,Reserved,Call Sign - Amateur,2016-07-23,2019-01-24,2021-01-24,
M0RTO,Reserved,Call Sign - Amateur,2016-07-23,2019-02-02,2021-02-02,
G8IOM,Reserved,Call Sign - Amateur,2016-07-23,2019-02-20,2021-02-20,
M0HXL,Reserved,Call Sign - Amateur,2016-07-23,2019-02-20,2021-02-20,
M0IVX,Reserved,Call Sign - Amateur,2019-03-10,2019-03-11,2021-03-11,
G8NRS,Reserved,Call Sign - Amateur,2016-07-23,2019-03-25,2021-03-25,
G6BRS,Reserved,Call Sign - Amateur,2016-07-23,2019-03-25,2021-03-25,
G0TKU,Reserved,Call Sign - Amateur,2016-07-23,2019-04-03,2021-04-03,
G4LEQ,Reserved,Call Sign - Amateur,2016-07-23,2019-04-08,2021-04-08,
G0LEQ,Reserved,Call Sign - Amateur,2016-07-23,2019-04-08,2021-04-08,
G0HRG,Reserved,Call Sign - Amateur,2016-07-23,2019-05-02,2021-05-02,
G2VGE,Reserved,Call Sign - Amateur,2020-05-04,2020-05-04,2021-05-04,
G3GG,Reserved,Call Sign - Amateur,2016-07-23,2019-06-17,2021-06-17,
M0LHX,Reserved,Call Sign - Amateur,2018-05-03,2019-07-03,2021-07-03,
