callsign,parse_status,prefix_series,rsl,suffix,home_callsign,implied_class,flags
M0NHR,parsed,M0,,NHR,,Full,
M0NPH,parsed,M0,,NPH,,Full,
M0NSS,parsed,M0,,NSS,,Full,
M0NTR,parsed,M0,,NTR,,Full,
M0NVT,parsed,M0,,NVT,,Full,
M0NWF,parsed,M0,,NWF,,Full,
M0NWG,parsed,M0,,NWG,,Full,
M0NXF,parsed,M0,,NXF,,Full,
M0NZG,parsed,M0,,NZG,,Full,
M0NZZ,parsed,M0,,NZZ,,Full,
M0OAF,parsed,M0,,OAF,,Full,
M0OAU,parsed,M0,,OAU,,Full,
M0OCV,parsed,M0,,OCV,,Full,
M0OHC,parsed,M0,,OHC,,Full,
M0OLM,parsed,M0,,OLM,,Full,
M0OLW,parsed,M0,,OLW,,Full,
M0OMY,parsed,M0,,OMY,,Full,
M0OOR,parsed,M0,,OOR,,Full,
M0PEQ,parsed,M0,,PEQ,,Full,
M0PJE,parsed,M0,,PJE,,Full,
M0PVB,parsed,M0,,PVB,,Full,
M0PVU,parsed,M0,,PVU,,Full,
M0RVK,parsed,M0,,RVK,,Full,
M0RVX,parsed,M0,,RVX,,Full,
M0SEG,parsed,M0,,SEG,,Full,
M0SLL,parsed,M0,,SLL,,Full,
M0SVH,parsed,M0,,SVH,,Full,
M0UBE,parsed,M0,,UBE,,Full,
M0UIT,parsed,M0,,UIT,,Full,
M0UNX,parsed,M0,,UNX,,Full,
M0UZZ,parsed,M0,,UZZ,,Full,
M0VAZ,parsed,M0,,VAZ,,Full,
M0VLX,parsed,M0,,VLX,,Full,
M0VRY,parsed,M0,,VRY,,Full,
M0VVX,parsed,M0,,VVX,,Full,
M0WBW,parsed,M0,,WBW,,Full,
M0WCN,parsed,M0,,WCN,,Full,
M0WDV,parsed,M0,,WDV,,Full,
M0WGR,parsed,M0,,WGR,,Full,
M0WJA,parsed,M0,,WJA,,Full,
M0WNA,parsed,M0,,WNA,,Full,
M0WRK,parsed,M0,,WRK,,Full,
M0WRN,parsed,M0,,WRN,,Full,
M0WTM,parsed,M0,,WTM,,Full,
M0WWK,parsed,M0,,WWK,,Full,
M0WZY,parsed,M0,,WZY,,Full,
M0XBA,parsed,M0,,XBA,,Full,
M0XBC,parsed,M0,,XBC,,Full,
M0XCE,parsed,M0,,XCE,,Full,
M0XCK,parsed,M0,,XCK,,Full,
M0XFZ,parsed,M0,,XFZ,,Full,
M0XGM,parsed,M0,,XGM,,Full,
M0XJA,parsed,M0,,XJA,,Full,
M0XLO,parsed,M0,,XLO,,Full,
M0XZW,parsed,M0,,XZW,,Full,
M0XZZ,parsed,M0,,XZZ,,Full,
M0YAF,parsed,M0,,YAF,,Full,
M0YAU,parsed,M0,,YAU,,Full,
M0YKW,parsed,M0,,YKW,,Full,
M0YPS,parsed,M0,,YPS,,Full,
M0YQB,parsed,M0,,YQB,,Full,
M0YRC,parsed,M0,,YRC,,Full,
M0YTK,parsed,M0,,YTK,,Full,
M0YTR,parsed,M0,,YTR,,Full,
M7ACX,parsed,M7,,ACX,,Foundation,
M7ACY,parsed,M7,,ACY,,Foundation,
M7ACZ,parsed,M7,,ACZ,,Foundation,
M7ADA,parsed,M7,,ADA,,Foundation,
M7ADB,parsed,M7,,ADB,,Foundation,
M7ADD,parsed,M7,,ADD,,Foundation,
M7ADE,parsed,M7,,ADE,,Foundation,
M7ADF,parsed,M7,,ADF,,Foundation,
M7ADG,parsed,M7,,ADG,,Foundation,
M7ADH,parsed,M7,,ADH,,Foundation,
M7ADI,parsed,M7,,ADI,,Foundation,
M7ADJ,parsed,M7,,ADJ,,Foundation,
M7ADK,parsed,M7,,ADK,,Foundation,
M7ADL,parsed,M7,,ADL,,Foundation,
M7ADN,parsed,M7,,ADN,,Foundation,
M7ADO,parsed,M7,,ADO,,Foundation,
M7ADP,parsed,M7,,ADP,,Foundation,
M7ADQ,parsed,M7,,ADQ,,Foundation,
M7ADR,parsed,M7,,ADR,,Foundation,
M7ADT,parsed,M7,,ADT,,Foundation,
M7ADU,parsed,M7,,ADU,,Foundation,
M7ADV,parsed,M7,,ADV,,Foundation,
M7ADW,parsed,M7,,ADW,,Foundation,
M7ADX,parsed,M7,,ADX,,Foundation,
M7ADY,parsed,M7,,ADY,,Foundation,
M7ADZ,parsed,M7,,ADZ,,Foundation,
M7AFA,parsed,M7,,AFA,,Foundation,
M7AFB,parsed,M7,,AFB,,Foundation,
M7AFC,parsed,M7,,AFC,,Foundation,
M7AFD,parsed,M7,,AFD,,Foundation,
