callsign,status,licence_class
20BJM,Allocated,
20BJN,Allocated,
20BJO,Allocated,
20BJP,Allocated,
20BJQ,Allocated,
20BJR,Allocated,
20BJS,Allocated,
20BJT,Allocated,
20BJU,Allocated,
20BJV,Allocated,
20BJW,Allocated,
20BJX,Allocated,
20BJY,Allocated,
20BJZ,Reserved,
20BKA,Allocated,
20BKB,Allocated,
20BKC,Allocated,
20BKD,Allocated,
20BKE,Allocated,
20BKF,Allocated,
20BKG,Reserved,
20BKH,Reserved,
20BKI,Allocated,
20BKJ,Allocated,
20BKK,Reserved,
20BKL,Allocated,
20BKM,Allocated,
20BKN,Allocated,
20BKO,Allocated,
20BKP,Allocated,
20BKQ,Allocated,
20BKR,Allocated,
20BKS,Allocated,
20BKT,Allocated,
20BKU,Allocated,
20BKV,Allocated,
20BKW,Allocated,
20BKX,Reserved,
20BKY,Allocated,
20BKZ,Allocated,
20BLA,Allocated,
20BLB,Allocated,
20BLC,Allocated,
20BLD,Allocated,
20BLE,Allocated,
20BLF,Allocated,
20BLG,Allocated,
20BLH,Allocated,
20BLI,Allocated,
20BLJ,Allocated,
20BLK,Allocated,
20BLL,Allocated,
20BLM,Reserved,
20BLN,Allocated,
20BLO,Allocated,
20BLP,Allocated,
20BLQ,Allocated,
20BLR,Allocated,
20BLS,Allocated,
20BLT,Allocated,
20BLU,Allocated,
20BLV,Allocated,
20BLW,Allocated,
20BLX,Allocated,
20BLY,Allocated,
20BLZ,Allocated,
20BMA,Allocated,
20BMB,Allocated,
20BMC,Allocated,
20BMD,Allocated,
20BME,Allocated,
20BMF,Allocated,
20BMG,Allocated,
20BMH,Allocated,
20BMI,Reserved,
20BMJ,Allocated,
20BMK,Allocated,
20BML,Allocated,
20BMM,Allocated,
20BMN,Allocated,
20BMO,Allocated,
20BMP,Allocated,
20BMQ,Reserved,
20BMR,Allocated,
20BMS,Reserved,
20BMT,Allocated,
20BMU,Allocated,
20BMV,Allocated,
20BMW,Allocated,
20BMX,Allocated,
20BMY,Allocated,
20BMZ,Allocated,
20BNA,Allocated,
20BNB,Allocated,
20BNC,Allocated,
20BND,Allocated,
20BNE,Allocated,
20BNF,Allocated,
20BNG,Reserved,
20BNH,Allocated,
20BNI,Allocated,
20BNJ,Allocated,
20BNK,Allocated,
20BNL,Allocated,
20BNM,Allocated,
20BNN,Allocated,
20BNO,Allocated,
20BNP,Allocated,
20BNQ,Allocated,
20BNR,Allocated,
20BNS,Allocated,
20BNT,Allocated,
20BNU,Allocated,
20BNV,Allocated,
20BNW,Allocated,
20BNX,Reserved,
20BNY,Reserved,
20BNZ,Allocated,
20BOA,Allocated,
20BOB,Allocated,
20BOC,Allocated,
20BOD,Allocated,
20BOE,Allocated,
20BOF,Allocated,
20BOH,Reserved,
20BOI,Allocated,
20BOJ,Allocated,
20BOK,Allocated,
20BON,Allocated,
